Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,class
0.555096,0.652139,0.637421,0.571386,0.75156,0.565313,0.160897,Cammeo
0.492607,0.647608,0.600073,0.520915,0.764241,0.514153,0.347423,Cammeo
0.461274,0.543835,0.524999,0.524859,0.71949,0.466684,0.265414,Cammeo
0.72408,0.824802,0.733614,0.749119,0.6893,0.752461,0.519435,Cammeo
0.691164,0.794403,0.768386,0.663718,0.761291,0.700861,0.374792,Cammeo
0.647773,0.712922,0.664516,0.684819,0.692066,0.651283,0.295209,Cammeo
0.687291,0.766491,0.69471,0.733358,0.67715,0.705696,0.715673,Cammeo
0.721264,0.761204,0.635867,0.831416,0.568308,0.742616,0.702965,Cammeo
0.59435,0.686241,0.701493,0.568777,0.785674,0.594233,0.22087,Cammeo
0.667576,0.842606,0.815444,0.597276,0.821064,0.680907,0.088823,Cammeo
0.472452,0.61348,0.603238,0.493102,0.783612,0.486375,0.73631,Cammeo
0.675321,0.801612,0.724635,0.683003,0.726924,0.699982,0.39082,Cammeo
0.47518,0.578148,0.547781,0.526305,0.731827,0.515207,0.72709,Cammeo
0.526756,0.627983,0.617726,0.54943,0.75521,0.535074,0.15233,Cammeo
0.704101,0.788541,0.765377,0.679429,0.750307,0.708773,0.852532,Cammeo
0.582204,0.658081,0.633231,0.613621,0.721691,0.587992,0.738782,Cammeo
0.560201,0.632588,0.601361,0.604635,0.709443,0.571203,0.293095,Cammeo
0.418676,0.488571,0.512054,0.460893,0.756084,0.418864,0.623231,Cammeo
0.666784,0.743084,0.721518,0.658596,0.740639,0.672205,0.592863,Cammeo
0.577715,0.671638,0.664418,0.588391,0.754951,0.588871,0.284362,Cammeo
0.85918,0.913059,0.856251,0.810478,0.717184,0.866649,0.199289,Cammeo
0.668544,0.803788,0.755603,0.654321,0.760627,0.695675,0.102957,Cammeo
0.780496,0.910085,0.840585,0.729196,0.757689,0.804413,0.145767,Cammeo
0.544446,0.661672,0.685672,0.513087,0.811335,0.546853,0.296435,Cammeo
0.572258,0.728571,0.756591,0.512966,0.842547,0.588344,0.855178,Cammeo
0.351875,0.42857,0.361108,0.519962,0.611963,0.372539,0.269468,Cammeo
0.786745,0.851452,0.711991,0.877891,0.587064,0.804325,0.362869,Cammeo
0.568562,0.616718,0.559642,0.658751,0.645011,0.579466,0.770545,Cammeo
0.726809,0.841608,0.808634,0.681105,0.770483,0.734529,0.872849,Cammeo
0.433198,0.587496,0.609928,0.405996,0.839894,0.446818,0.078549,Cammeo
0.683682,0.77596,0.671637,0.735395,0.66184,0.711146,0.209796,Cammeo
0.699437,0.811234,0.7525,0.689265,0.737692,0.720025,0.224058,Cammeo
0.558968,0.634458,0.595763,0.616458,0.698019,0.569532,0.553534,Cammeo
0.64126,0.743253,0.691259,0.661033,0.722896,0.662799,0.502381,Cammeo
0.665552,0.711069,0.653912,0.721911,0.660252,0.672556,0.444462,Cammeo
0.751628,0.79078,0.681836,0.826897,0.603662,0.765471,0.475875,Cammeo
0.703397,0.783143,0.708155,0.729826,0.687387,0.725475,0.427672,Cammeo
0.539694,0.707039,0.732241,0.49132,0.844288,0.557929,0.725596,Cammeo
0.405738,0.45392,0.395433,0.556973,0.607505,0.41359,0.28983,Cammeo
0.542158,0.655493,0.625267,0.564351,0.749599,0.560302,0.176146,Cammeo
0.437159,0.603572,0.625707,0.426479,0.834937,0.444357,0.503011,Cammeo
0.506161,0.65272,0.68411,0.462747,0.839776,0.536568,0.269265,Cammeo
0.780408,0.928934,0.905576,0.671834,0.818656,0.792282,0.409374,Cammeo
0.582204,0.699846,0.680262,0.583049,0.766448,0.585707,0.288428,Cammeo
0.65455,0.740734,0.71467,0.655189,0.739184,0.661217,0.251007,Cammeo
0.587221,0.643547,0.598693,0.642646,0.681566,0.590541,0.397471,Cammeo
0.437159,0.5367,0.537478,0.475553,0.760305,0.447433,0.529304,Cammeo
0.466731,0.607554,0.607292,0.462706,0.804545,0.485144,0.401131,Cammeo
0.717655,0.738669,0.67498,0.772856,0.637792,0.728376,0.759639,Cammeo
0.607287,0.676645,0.597681,0.69167,0.645972,0.619989,0.412113,Cammeo
0.573227,0.674902,0.628278,0.603812,0.725411,0.585883,0.415158,Cammeo
0.5257,0.67796,0.670844,0.5016,0.81125,0.536832,0.386407,Cammeo
0.539166,0.715806,0.792941,0.418647,0.905895,0.54615,0.095379,Cammeo
0.472628,0.621328,0.650248,0.434727,0.84105,0.483034,0.136146,Cammeo
0.501672,0.535697,0.486974,0.613729,0.629297,0.510285,0.694381,Cammeo
0.620489,0.771862,0.753844,0.567096,0.811026,0.638889,0.47061,Cammeo
0.668016,0.77277,0.686206,0.69902,0.695166,0.688819,0.189714,Cammeo
0.444288,0.507964,0.456035,0.559093,0.649963,0.454817,0.340559,Cammeo
0.629995,0.827849,0.826258,0.539453,0.856545,0.634494,0.075305,Cammeo
0.395705,0.509691,0.53764,0.431925,0.789036,0.405767,0.128197,Cammeo
0.493487,0.590961,0.594734,0.520112,0.76193,0.504483,0.336519,Cammeo
0.672417,0.754133,0.708923,0.692632,0.712198,0.682929,0.19515,Cammeo
0.553248,0.657495,0.629856,0.578147,0.743126,0.563994,0.19803,Cammeo
0.536349,0.661356,0.642955,0.549667,0.768263,0.549314,0.136736,Cammeo
0.761134,0.803439,0.690559,0.830771,0.606692,0.783579,0.662341,Cammeo
0.494455,0.611246,0.598592,0.519781,0.76419,0.508263,0.136674,Cammeo
0.56953,0.654458,0.631691,0.604808,0.726662,0.583245,0.57012,Cammeo
0.433022,0.455642,0.423779,0.569201,0.618844,0.436445,0.479521,Cammeo
0.453705,0.551113,0.521803,0.528066,0.71533,0.464838,0.824728,Cammeo
0.648389,0.745572,0.695071,0.659823,0.725756,0.655942,0.394108,Cammeo
0.62401,0.770558,0.707435,0.635305,0.747862,0.642669,0.363399,Cammeo
0.674617,0.746084,0.671644,0.724227,0.669531,0.688731,0.207982,Cammeo
0.422285,0.573368,0.612542,0.39872,0.845326,0.426248,0.139561,Cammeo
0.53098,0.628252,0.6248,0.539367,0.76539,0.540963,0.49201,Cammeo
0.579739,0.695732,0.649802,0.62143,0.725807,0.59775,0.729174,Cammeo
0.387696,0.42143,0.420063,0.493355,0.676005,0.386603,0.218939,Cammeo
0.268703,0.352931,0.361474,0.350328,0.746032,0.273119,0.213085,Cammeo
0.619697,0.714776,0.719129,0.598937,0.776081,0.62544,0.682599,Cammeo
0.459338,0.523919,0.547952,0.492873,0.754507,0.459388,0.290008,Cammeo
0.668192,0.766005,0.666372,0.721015,0.668533,0.694884,0.203261,Cammeo
0.472276,0.602785,0.587341,0.492996,0.775515,0.490418,0.463888,Cammeo
0.718447,0.75024,0.637348,0.827809,0.572117,0.734089,0.650305,Cammeo
0.625242,0.700385,0.585437,0.734181,0.60625,0.655591,0.284618,Cammeo
0.711847,0.739593,0.668999,0.765631,0.639072,0.718354,0.575769,Cammeo
0.670217,0.755575,0.734702,0.663459,0.744462,0.681435,0.817989,Cammeo
0.544886,0.711681,0.718361,0.528107,0.817471,0.575686,0.235989,Cammeo
0.566098,0.657886,0.599713,0.614967,0.7014,0.579905,0.192717,Cammeo
0.337529,0.480707,0.535446,0.339731,0.845664,0.34186,0.042479,Cammeo
0.711582,0.813997,0.737302,0.717461,0.711849,0.719937,0.189372,Cammeo
0.524203,0.5764,0.557301,0.591484,0.692155,0.528481,0.219476,Cammeo
0.495951,0.624434,0.600903,0.52359,0.762954,0.50923,0.12215,Cammeo
0.568738,0.527136,0.391345,0.831313,0.352515,0.580169,0.81668,Cammeo
0.748284,0.870048,0.80696,0.715668,0.749256,0.771185,0.68904,Cammeo
0.528604,0.659158,0.650046,0.517702,0.791648,0.53815,0.15171,Cammeo
0.488734,0.622612,0.609739,0.50158,0.781571,0.504659,0.113858,Cammeo
0.670305,0.819299,0.803043,0.61373,0.80652,0.679764,0.359205,Cammeo
0.581588,0.688348,0.681275,0.57451,0.772236,0.587816,0.138974,Cammeo
0.605967,0.669283,0.631552,0.650229,0.696114,0.627725,0.321937,Cammeo
0.68377,0.807147,0.782526,0.658975,0.770992,0.704729,0.132631,Cammeo
0.685619,0.767711,0.699845,0.717645,0.690665,0.694884,0.746788,Cammeo
0.602711,0.660072,0.585722,0.694005,0.636385,0.626406,0.295305,Cammeo
0.81711,0.863155,0.757442,0.851907,0.634772,0.851002,0.653961,Cammeo
0.537229,0.593754,0.511293,0.667055,0.605128,0.556435,0.587297,Cammeo
0.591885,0.706326,0.678562,0.595473,0.757836,0.613836,0.233869,Cammeo
0.409083,0.503333,0.497569,0.470909,0.740964,0.424754,0.696052,Cammeo
0.411195,0.455985,0.424174,0.538202,0.643904,0.416403,0.821189,Cammeo
0.557384,0.699872,0.665521,0.558447,0.774248,0.572169,0.123618,Cammeo
0.728921,0.90435,0.852931,0.666083,0.79931,0.757208,0.244735,Cammeo
0.467347,0.595846,0.511877,0.560837,0.685742,0.49288,0.374025,Cammeo
0.662647,0.744172,0.68616,0.69286,0.699228,0.693653,0.646003,Cammeo
0.822654,0.886441,0.774511,0.850085,0.646416,0.839575,0.349391,Cammeo
0.765974,0.917252,0.835066,0.720414,0.760165,0.787359,0.15475,Cammeo
0.591709,0.685148,0.621929,0.633151,0.702074,0.598277,0.206095,Cammeo
0.564513,0.630998,0.61882,0.59519,0.725819,0.563643,0.853782,Cammeo
0.555272,0.663716,0.592155,0.610464,0.700005,0.572697,0.449537,Cammeo
0.529572,0.65149,0.60393,0.57366,0.731781,0.557753,0.380568,Cammeo
0.615649,0.71334,0.715222,0.59029,0.779386,0.624385,0.352905,Cammeo
0.792818,0.871574,0.836016,0.737669,0.750502,0.81206,0.763608,Cammeo
0.682714,0.818026,0.791537,0.635107,0.789151,0.702971,0.731087,Cammeo
0.632811,0.729485,0.716819,0.62323,0.760147,0.642845,0.154831,Cammeo
0.514522,0.611394,0.589697,0.559556,0.733198,0.530854,0.540716,Cammeo
0.704805,0.819553,0.80915,0.64427,0.791974,0.719058,0.765503,Cammeo
0.538109,0.649483,0.679491,0.522492,0.802884,0.5516,0.285454,Cammeo
0.689931,0.804923,0.738182,0.68579,0.732368,0.708949,0.758659,Cammeo
0.56909,0.595281,0.526731,0.683768,0.60324,0.579378,0.581282,Cammeo
0.585988,0.724452,0.677985,0.587911,0.762265,0.610408,0.187886,Cammeo
0.636772,0.772602,0.73554,0.622665,0.769817,0.655239,0.651057,Cammeo
0.703133,0.830311,0.769342,0.686128,0.748236,0.734968,0.371431,Cammeo
0.870533,0.954211,0.88888,0.805241,0.736709,0.876846,0.216808,Cammeo
0.838849,1,0.905897,0.754533,0.773734,0.866122,0.261398,Cammeo
0.584756,0.683194,0.621341,0.633748,0.701322,0.600563,0.604837,Cammeo
0.670745,0.7661,0.72494,0.669332,0.735707,0.68161,0.343827,Cammeo
0.605791,0.67373,0.597439,0.69155,0.6459,0.618056,0.353578,Cammeo
0.467523,0.518052,0.538006,0.520066,0.730456,0.465893,0.855728,Cammeo
0.569266,0.616094,0.525393,0.693283,0.59483,0.57885,0.257694,Cammeo
0.733762,0.842136,0.777949,0.719109,0.732464,0.749121,0.165329,Cammeo
0.479581,0.534846,0.531588,0.545516,0.708937,0.484177,0.234966,Cammeo
0.638532,0.793658,0.734729,0.628187,0.76608,0.691895,0.581298,Cammeo
0.630347,0.708291,0.657646,0.668945,0.698734,0.653921,0.265704,Cammeo
0.543126,0.650888,0.608172,0.587825,0.724718,0.56839,0.2977,Cammeo
0.718359,0.841592,0.784063,0.685206,0.756146,0.730925,0.236792,Cammeo
0.458898,0.534714,0.545368,0.507531,0.743217,0.47609,0.211586,Cammeo
0.522443,0.605357,0.553145,0.588465,0.691735,0.531821,0.698483,Cammeo
0.677786,0.751175,0.66413,0.723613,0.665373,0.691983,0.259326,Cammeo
0.539782,0.557002,0.472197,0.695132,0.552685,0.545447,0.297645,Cammeo
0.629995,0.688839,0.63639,0.67347,0.683089,0.643284,0.391564,Cammeo
0.596726,0.754862,0.718078,0.579581,0.787179,0.606101,0.124701,Cammeo
0.697412,0.806444,0.8023,0.638925,0.791901,0.704202,0.907241,Cammeo
0.599982,0.699582,0.704378,0.576455,0.782449,0.604167,0.349281,Cammeo
0.53855,0.67448,0.666457,0.521668,0.797184,0.545007,0.229756,Cammeo
0.588013,0.775221,0.734307,0.559918,0.806318,0.613485,0.07867,Cammeo
0.606407,0.719667,0.69079,0.618008,0.750042,0.622539,0.117703,Cammeo
0.575779,0.683923,0.630725,0.617104,0.717956,0.592475,0.230158,Cammeo
0.666256,0.762556,0.721887,0.662322,0.738499,0.680995,0.787554,Cammeo
0.705686,0.896185,0.814033,0.655071,0.78804,0.752725,0.18777,Cammeo
0.715807,0.817503,0.817964,0.651795,0.791699,0.722662,0.782643,Cammeo
0.622338,0.647048,0.584442,0.725915,0.611786,0.626055,0.306715,Cammeo
0.642405,0.793125,0.754152,0.616416,0.782538,0.67238,0.830515,Cammeo
0.56909,0.697126,0.716445,0.524027,0.818961,0.577004,0.727957,Cammeo
0.348706,0.419998,0.474236,0.378111,0.79105,0.35276,0.513771,Cammeo
0.637388,0.751027,0.707621,0.636953,0.746929,0.643987,0.459559,Cammeo
0.608608,0.732733,0.630908,0.659911,0.689114,0.629571,0.437492,Cammeo
0.405826,0.505297,0.489155,0.474589,0.733473,0.419304,0.681471,Cammeo
0.847474,0.993499,0.993862,0.697407,0.840509,0.860935,0.205689,Cammeo
0.55272,0.657611,0.614547,0.599009,0.720851,0.57551,0.257552,Cammeo
0.560993,0.629483,0.547333,0.664418,0.632497,0.580169,0.454758,Cammeo
0.571554,0.652995,0.584161,0.649477,0.667664,0.578586,0.206794,Cammeo
0.795371,0.909948,0.817326,0.773175,0.719718,0.802655,0.224331,Cammeo
0.652614,0.742229,0.642271,0.705044,0.6648,0.673699,0.231046,Cammeo
0.744587,0.876538,0.828643,0.684233,0.778078,0.75378,0.162856,Cammeo
0.571994,0.645121,0.496654,0.740044,0.534834,0.604518,0.303287,Cammeo
0.58282,0.642121,0.604519,0.639711,0.687173,0.597398,0.275413,Cammeo
0.576923,0.676814,0.685948,0.562857,0.781686,0.582366,0.124555,Cammeo
0.740715,0.805483,0.708577,0.779896,0.653897,0.756505,0.245476,Cammeo
0.36226,0.467002,0.441691,0.443875,0.726835,0.379395,0.467178,Cammeo
0.645925,0.75756,0.650311,0.706621,0.668659,0.670359,0.254119,Cammeo
0.504137,0.608072,0.589681,0.530633,0.752355,0.530415,0.635474,Cammeo
0.562489,0.754867,0.736815,0.503797,0.839291,0.575774,0.404512,Cammeo
0.527548,0.652963,0.677776,0.495162,0.818236,0.530591,0.09664,Cammeo
0.578683,0.735822,0.76399,0.505685,0.849586,0.587816,0.724235,Cammeo
0.61424,0.675995,0.603138,0.698324,0.64471,0.633175,0.521715,Cammeo
0.541894,0.672293,0.633192,0.558369,0.757663,0.583509,0.228971,Cammeo
0.589773,0.707773,0.612187,0.661888,0.676387,0.606892,0.18247,Cammeo
0.617849,0.689906,0.609405,0.695889,0.650525,0.629483,0.240586,Cammeo
0.760694,0.892657,0.870543,0.668668,0.805562,0.773646,0.150164,Cammeo
0.598926,0.702006,0.683881,0.60533,0.754409,0.609089,0.218381,Cammeo
0.716423,0.806719,0.729073,0.737074,0.694594,0.738485,0.444769,Cammeo
0.576835,0.724219,0.682812,0.570913,0.775214,0.601617,0.292307,Cammeo
0.568738,0.629414,0.528215,0.696061,0.594714,0.584652,0.293138,Cammeo
0.656399,0.75728,0.702173,0.6713,0.722248,0.672205,0.325437,Cammeo
0.563545,0.662449,0.623106,0.597298,0.726827,0.577092,0.696982,Cammeo
0.76351,0.837536,0.766071,0.758299,0.701557,0.768548,0.235762,Cammeo
0.61204,0.705492,0.641602,0.650492,0.701824,0.625088,0.235231,Cammeo
0.680338,0.794403,0.71931,0.696967,0.715128,0.700246,0.392746,Cammeo
0.656399,0.783312,0.76663,0.612215,0.790863,0.673699,0.278232,Cammeo
0.624978,0.667809,0.600443,0.70644,0.637041,0.629395,0.263278,Cammeo
0.684651,0.753103,0.687121,0.715274,0.684839,0.693917,0.23433,Cammeo
0.603415,0.65328,0.614083,0.659435,0.679266,0.610759,0.674343,Cammeo
0.720824,0.869709,0.877241,0.61637,0.836417,0.727496,0.180982,Cammeo
0.619433,0.722645,0.69357,0.622631,0.748588,0.626758,0.461143,Cammeo
0.776712,0.907867,0.881961,0.690191,0.798719,0.786217,0.671975,Cammeo
0.593469,0.660664,0.638576,0.613807,0.724568,0.59942,0.569352,Cammeo
0.615209,0.706036,0.629282,0.686077,0.670012,0.630274,0.717416,Cammeo
0.80822,0.91054,0.804632,0.797894,0.697584,0.836762,0.439171,Cammeo
0.517779,0.656285,0.632598,0.512884,0.786005,0.531821,0.618324,Cammeo
0.644869,0.775939,0.713813,0.643745,0.745903,0.660513,0.215493,Cammeo
0.611952,0.757381,0.714517,0.591537,0.778291,0.63045,0.154016,Cammeo
0.631227,0.696899,0.628413,0.69846,0.660779,0.641526,0.215233,Cammeo
0.728657,0.852461,0.79132,0.69011,0.756793,0.738221,0.268675,Cammeo
0.615913,0.667529,0.581281,0.710599,0.62109,0.626143,0.335019,Cammeo
0.629203,0.778279,0.748467,0.587953,0.796549,0.644075,0.577869,Cammeo
0.6417,0.774381,0.743394,0.606717,0.783149,0.667194,0.129491,Cammeo
0.602799,0.674955,0.585339,0.70223,0.630063,0.614539,0.331977,Cammeo
0.470076,0.604328,0.583222,0.493712,0.772908,0.480837,0.184619,Cammeo
0.795371,0.847438,0.780086,0.794302,0.686282,0.802479,0.392301,Cammeo
0.715103,0.809286,0.741401,0.712133,0.717476,0.724156,0.775134,Cammeo
0.805756,0.921731,0.884216,0.722248,0.781968,0.818741,0.3818,Cammeo
0.594086,0.732384,0.689223,0.578357,0.77384,0.603727,0.283986,Cammeo
0.661767,0.765535,0.690819,0.684041,0.707684,0.674842,0.416122,Cammeo
0.689139,0.763042,0.710633,0.703547,0.706065,0.70552,0.668009,Cammeo
0.677786,0.757824,0.707941,0.680352,0.71958,0.683193,0.211888,Cammeo
0.645661,0.707409,0.574962,0.774032,0.568039,0.670183,0.329219,Cammeo
0.610984,0.78027,0.786579,0.528783,0.846324,0.622451,0.120158,Cammeo
0.646541,0.697585,0.644885,0.694507,0.673727,0.651723,0.266861,Cammeo
0.628322,0.780344,0.734911,0.611197,0.7764,0.645306,0.239208,Cammeo
0.563193,0.619168,0.515977,0.695933,0.585791,0.576389,0.600128,Cammeo
0.604647,0.785361,0.731991,0.569544,0.799653,0.629219,0.422209,Cammeo
0.613096,0.720982,0.709773,0.593628,0.774702,0.623418,0.522796,Cammeo
0.650678,0.745397,0.685823,0.666444,0.716389,0.662096,0.361744,Cammeo
0.617761,0.585605,0.428146,0.861393,0.361585,0.63045,0.432092,Cammeo
0.37731,0.428612,0.384644,0.506269,0.640931,0.390471,0.286307,Cammeo
0.675233,0.822869,0.801144,0.622869,0.800516,0.682929,0.14539,Cammeo
0.540662,0.55697,0.491398,0.670181,0.587972,0.544568,0.581312,Cammeo
0.915068,0.886304,0.734211,1,0.512093,0.931698,0.464631,Cammeo
0.609048,0.763544,0.668447,0.637946,0.725328,0.630362,0.15824,Cammeo
0.801179,0.844676,0.767875,0.822061,0.661127,0.813379,0.731422,Cammeo
0.654726,0.785256,0.727721,0.638281,0.756418,0.667634,0.188385,Cammeo
0.825823,0.918879,0.853777,0.768958,0.740761,0.843882,0.701825,Cammeo
0.746259,0.812022,0.693182,0.793561,0.634826,0.754483,0.276064,Cammeo
0.658687,0.67365,0.564881,0.798272,0.541124,0.664205,0.347442,Cammeo
0.744323,0.855086,0.827563,0.678965,0.780598,0.755274,0.314784,Cammeo
0.599454,0.768313,0.704335,0.598488,0.769047,0.615418,0.12223,Cammeo
0.727337,0.77736,0.695924,0.770046,0.652886,0.73743,0.820683,Cammeo
0.579123,0.695029,0.657758,0.598867,0.744767,0.597398,0.702673,Cammeo
0.446048,0.588943,0.61336,0.430059,0.827189,0.458333,0.303948,Cammeo
0.549287,0.616237,0.548739,0.641839,0.650269,0.567862,0.7586,Cammeo
0.618025,0.71129,0.68367,0.622893,0.74322,0.626231,0.42121,Cammeo
0.597958,0.696709,0.660885,0.611927,0.738052,0.608914,0.261824,Cammeo
0.494191,0.543127,0.430267,0.661553,0.54709,0.513274,0.437025,Cammeo
0.373438,0.513467,0.520327,0.401297,0.799892,0.386164,0.429183,Cammeo
0.548407,0.591674,0.524544,0.654989,0.623904,0.551776,0.272829,Cammeo
0.614504,0.67656,0.549896,0.756314,0.563234,0.628516,0.422694,Cammeo
0.440591,0.444261,0.323566,0.683319,0.42947,0.451565,0.344999,Cammeo
0.781553,0.793706,0.669771,0.883754,0.553056,0.804501,0.645717,Cammeo
0.386288,0.448216,0.448757,0.471784,0.710893,0.392141,0.382194,Cammeo
0.730945,0.791778,0.692295,0.796246,0.632376,0.741649,0.729469,Cammeo
0.711582,0.766227,0.713329,0.728117,0.691498,0.721167,0.680856,Cammeo
0.63686,0.703543,0.687116,0.644351,0.731375,0.645482,0.820246,Cammeo
0.77988,0.788329,0.696674,0.842777,0.602124,0.794304,0.64124,Cammeo
0.667664,0.715648,0.652764,0.717719,0.662461,0.674842,0.726858,Cammeo
0.761134,0.818903,0.771937,0.749571,0.710296,0.769339,0.578259,Cammeo
0.688611,0.825594,0.754537,0.668288,0.751621,0.708245,0.275509,Cammeo
0.342897,0.466057,0.481349,0.406286,0.776022,0.354255,0.126856,Cammeo
0.751892,0.765931,0.673167,0.822701,0.600871,0.756153,0.415581,Cammeo
0.372558,0.417331,0.38928,0.50431,0.645876,0.374297,0.842468,Cammeo
0.701109,0.645791,0.526668,0.885773,0.434899,0.702795,0.419937,Cammeo
0.661327,0.780159,0.716536,0.66315,0.735158,0.685039,0.624839,Cammeo
0.702165,0.791762,0.659088,0.780164,0.622286,0.726969,0.281392,Cammeo
0.53098,0.630787,0.633159,0.526426,0.777851,0.535689,0.491177,Cammeo
0.44596,0.521786,0.517902,0.498749,0.733484,0.450774,0.233236,Cammeo
0.501848,0.603879,0.56905,0.549603,0.728175,0.5109,0.52954,Cammeo
0.735434,0.887851,0.842571,0.664626,0.795532,0.745693,0.1382,Cammeo
0.486974,0.605595,0.539476,0.559206,0.704065,0.503692,0.249238,Cammeo
0.687907,0.754212,0.691139,0.727905,0.67871,0.69629,0.806279,Cammeo
0.507657,0.576363,0.508425,0.620812,0.63881,0.524877,0.543966,Cammeo
0.718535,0.803555,0.700266,0.759681,0.662641,0.736023,0.230999,Cammeo
0.457138,0.496102,0.44526,0.586021,0.62114,0.467387,0.296347,Cammeo
0.602799,0.646467,0.517553,0.770334,0.526473,0.62878,0.512813,Cammeo
0.59655,0.671665,0.653978,0.618204,0.730222,0.603463,0.86721,Cammeo
0.639588,0.675567,0.560712,0.788454,0.545794,0.662623,0.371762,Cammeo
0.513994,0.670846,0.723738,0.447032,0.865066,0.521976,0.062777,Cammeo
0.6116,0.718299,0.736281,0.565063,0.804238,0.614364,0.230439,Cammeo
0.727337,0.766449,0.740194,0.738503,0.69992,0.732771,0.859008,Cammeo
0.399402,0.424577,0.408681,0.524104,0.644015,0.402514,0.872024,Cammeo
0.633251,0.766924,0.800876,0.549868,0.840799,0.639241,0.825272,Cammeo
0.52966,0.694189,0.688936,0.49727,0.822066,0.557138,0.089722,Cammeo
0.673033,0.742165,0.697299,0.695971,0.703515,0.685478,0.683881,Cammeo
0.454938,0.597499,0.601374,0.472735,0.795437,0.494814,0.681083,Cammeo
0.587749,0.665549,0.654249,0.607975,0.737012,0.591772,0.681328,Cammeo
0.529484,0.645934,0.605415,0.560011,0.741643,0.549666,0.697164,Cammeo
0.517515,0.651875,0.716683,0.451011,0.860039,0.532964,0.771552,Cammeo
0.478261,0.565288,0.548308,0.524071,0.733654,0.483298,0.251559,Cammeo
0.719416,0.824723,0.814921,0.660264,0.785477,0.729958,0.283459,Cammeo
0.698381,0.792391,0.70242,0.735051,0.680561,0.72064,0.519563,Cammeo
0.626914,0.72884,0.673863,0.65725,0.71573,0.643987,0.50841,Cammeo
